code,iso,country,Region,LandArea,Pop,UWD
4,AFG,Afghanistan,Asia,652860,34.656032,26.62
8,ALB,Albania,Eastern Europe & Eurasia,27400,2.876101,65.97
12,DZA,Algeria,Mid East & North Africa,2381741,40.606052,56.17
24,AGO,Angola,Sub-Saharan Africa,1246700,28.813463,8.99
28,ATG,Antigua and Barbuda,Caribbean,440,0.100963,51.96
32,ARG,Argentina,Latin America,2736690,43.84743,69.9
51,ARM,Armenia,Eastern Europe & Eurasia,28470,2.924816,65.02
36,AUS,Australia,Pacific,7682300,24.127159,96.88
40,AUT,Austria,Europe & North America,82523,8.747358,98.85
31,AZE,Azerbaijan,Eastern Europe & Eurasia,82663,9.762274,51.28
44,BHS,Bahamas,Caribbean,10010,0.391232,53.67
48,BHR,Bahrain,Mid East & North Africa,771,1.425171,59.62
50,BGD,Bangladesh,Asia,130170,162.95156,28.92
52,BRB,Barbados,Caribbean,430,0.284996,54.93
112,BLR,Belarus,Eastern Europe & Eurasia,202910,9.50712,71.2
56,BEL,Belgium,Europe & North America,30280,11.348159,95.93
84,BLZ,Belize,Latin America,22810,0.366954,45.42
204,BEN,Benin,Sub-Saharan Africa,112760,10.872298,6.62
64,BTN,Bhutan,Asia,38117,0.797765,34.9
68,BOL,Bolivia,Latin America,1083300,10.887882,44.18
70,BIH,Bosnia and Herzegovina,Eastern Europe & Eurasia,51200,3.516816,68.63
72,BWA,Botswana,Sub-Saharan Africa,566730,2.25026,22.09
76,BRA,Brazil,Latin America,8358140,207.652865,48.37
96,BRN,Brunei Darussalam,Asia,5270,0.423196,90.93
100,BGR,Bulgaria,Eastern Europe & Eurasia,108560,7.127822,66.18
854,BFA,Burkina Faso,Sub-Saharan Africa,273600,18.646433,8.71
108,BDI,Burundi,Sub-Saharan Africa,25680,10.524117,0.77
384,CIV,C̫te d'Ivoire,Sub-Saharan Africa,318000,23.695919,36.09
132,CPV,Cabo Verde,Sub-Saharan Africa,4030,0.53956,13.7
116,KHM,Cambodia,Asia,176520,15.76237,100
120,CMR,Cameroon,Sub-Saharan Africa,472710,23.439189,41.42
124,CAN,Canada,Europe & North America,9093510,36.286425,0
140,CAF,Central African Republic,Sub-Saharan Africa,622980,4.594621,0.38
148,TCD,Chad,Sub-Saharan Africa,1259200,14.452543,79.81
152,CHL,Chile,Latin America,743532,17.909754,69.66
156,CHN,China,Asia,9388211,1378.665,56.12
170,COL,Colombia,Latin America,1109500,48.653419,10.63
174,COM,Comoros,Sub-Saharan Africa,1861,0.795601,57.48
